ProductID, ProductDescription, ProductFinish, ProductStandardPrice, ProductOnHand, ProductLineID, Photo
1, 'Cherry End Table', 'Cherry', 175, 0, 1, 
2, 'Birch Coffee Table', 'Birch', 200, 0, 1, 
3, 'Oak Computer Desk', 'Oak', 750, 0, 1, 
4, 'Entertainment Center', 'Cherry', 1650, 0, 1, 
5, 'Writer's Desk', 'Oak', 325, 0, 2, 
6, '8-Drawer Dresser', 'Birch', 750, 0, 1, 
7, '48" Bookcase', 'Walnut', 150, 0, 3, 
8, '48" Bookcase', 'Oak', 175, 0, 3, 
9, '96" Bookcase', 'Walnut', 225, 0, 3, 
10, '96" Bookcase', 'Oak', 200, 0, 3, 
11, '4-Drawer Dresser', 'Oak', 500, 0, 1, 
12, '8-Drawer Dresser', 'Oak', 800, 0, 1, 
13, 'Nightstand', 'Cherry', 150, 0, 1, 
14, 'Writer's Desk', 'Birch', 300, 0, 2, 
17, 'High Back Leather Chair', 'Leather', 362, 0, 3, 
18, '6' Grandfather Clock', 'Oak', 890, 0, 4, 
19, '7' Grandfather Clock', 'Oak', 1100, 0, 4, 
20, 'Amoire', 'Walnut', 1200, 0, 2, 
21, 'Pine End Table', 'Pine', 256, 0, 1, 
24, '', '', 0, 0, 5, 
25, '', '', 0, 0, 2, 

